id,name,ward_category,postal_code,address,website,fleet,depot_address,latitude,longitude,status,source_url
member_1,勇建設㈱,中央区,060-0006,札幌市中央区北6条西14丁目4番地,http://www.isami-con.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_2,板谷土建㈱,中央区,064-0916,札幌市中央区南16条西8丁目2番20号,https://www.itayadoken.com/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_3,岩田地崎建設㈱,中央区,060-8630,札幌市中央区北2条東17丁目2番地,https://www.iwatachizaki.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_4,㈱大庭組,中央区,064-0807,札幌市中央区南7条西15丁目2番21号,https://ohbagumi.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_5,㈱公清企業,中央区,060-0031,札幌市中央区北1条東15丁目140番地,https://www.kosei-kigyo.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_6,スミセキ・コンテック㈱北広島営業所,中央区,060-0062,北広島市北の里57番2,http://www.sumiseki-contech.com/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_7,ソリトン・コム㈱,中央区,064-0945,札幌市中央区盤渓499番地10,https://www.soliton-com.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_8,大善建設㈱,中央区,060-0032,札幌市中央区北2条東12丁目98番地12,https://www.daizen-kk.com,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_9,大同舗道㈱,中央区,060-0032,札幌市中央区北2条東17丁目2番地,https://daido-hodo.com/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_10,東洋ロードメンテナンス㈱,中央区,060-0006,札幌市中央区北6条西22丁目2番7号,https://toyoroad.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_11,野田工業㈱,中央区,064-0945,札幌市中央区盤渓365番地,,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_12,北津建設㈱,中央区,064-0822,札幌市中央区北2条西20丁目1番10号,,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_13,北海道ロードメンテナンス㈱,中央区,060-0031,札幌市中央区北1条東12丁目22番地,https://www.h-rm.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_14,北海道ロード運輸㈱,中央区,060-0032,札幌市中央区北2条東12丁目98番地12　ＲＳビル,https://www.h-roadunyu.com/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_15,舗道工業㈱,中央区,064-0952,札幌市中央区宮の森2条12丁目2番11号,http://www.hodoh.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_16,㈱丸周中村土木,中央区,064-0929,札幌市中央区南29条西11丁目4番10号,,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_17,㈱水谷組,中央区,064-0929,札幌市中央区南29条西11丁目4番10号,https://mizutanigumi.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_18,札工建設㈱,中央区,064-0945,札幌市中央区盤渓499番地10,,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
member_19,㈱クリーンアップ,中央区,060-0063,札幌市中央区南3条西13丁目320番地,http://www.clean-up.co.jp/,,,,,協会掲載所在地。保有機械・出動拠点未確認,https://sapporo-josetsu.jp/member.html
