i,j,lat,lon,road_km,road_area_ha,station,season_t,peak_day_t
27,13,42.9028,141.32861,1.38,0.88,南区(南31条西8丁目),2279,88
27,12,42.89376,141.32861,0.04,0.02,南区(南31条西8丁目),60,2
27,14,42.91184,141.32861,2.46,1.56,南区(南31条西8丁目),4028,156
28,12,42.89376,141.34091,0.01,0.01,南区(南31条西8丁目),18,1
13,11,42.88471,141.15648,0.2,0.12,南区(定山渓),382,10
8,8,42.85758,141.09501,0.24,0.15,南区(定山渓),452,12
36,22,42.9842,141.43927,24.71,17.15,清田区,45351,1800
37,22,42.9842,141.45156,26.06,18.02,清田区,47660,1892
37,23,42.99324,141.45156,16.03,11.43,清田区,30223,1200
36,23,42.99324,141.43927,24.85,17.6,清田区,46562,1848
38,22,42.9842,141.46386,20.56,13.08,清田区,34585,1373
38,21,42.97515,141.46386,13.38,9.87,清田区,26110,1037
39,22,42.9842,141.47615,8.33,6.03,清田区,15958,634
38,23,42.99324,141.46386,20.72,14.39,清田区,38071,1511
38,24,43.00229,141.46386,15.64,11.54,清田区,30513,1211
37,21,42.97515,141.45156,11.2,8.13,清田区,21493,853
37,19,42.95706,141.45156,3.42,3.15,清田区,8332,331
37,20,42.96611,141.45156,3.06,2.94,清田区,7775,309
37,18,42.94802,141.45156,2.46,2.24,清田区,5913,235
36,18,42.94802,141.43927,5.79,3.54,清田区,9354,371
36,17,42.93898,141.43927,2.09,1.92,清田区,5068,201
30,24,43.00229,141.3655,19.08,12.97,南区(南31条西8丁目),33526,1297
29,24,43.00229,141.3532,9.71,6.47,南区(南31条西8丁目),16728,647
29,23,42.99324,141.3532,13.77,9.64,南区(南31条西8丁目),24914,964
35,23,42.99324,141.42697,29.72,19.13,清田区,50611,2009
34,23,42.99324,141.41468,3.67,2.25,清田区,5952,236
35,22,42.9842,141.42697,17.93,11.72,清田区,31010,1231
39,24,43.00229,141.47615,22.85,15.5,清田区,41010,1628
37,24,43.00229,141.45156,23.75,16.05,清田区,42456,1685
31,23,42.99324,141.37779,26.41,16.94,南区(南31条西8丁目),43797,1694
31,24,43.00229,141.37779,30.77,20.09,南区(南31条西8丁目),51931,2009
28,24,43.00229,141.34091,5.56,4.29,南区(南31条西8丁目),11095,429
29,22,42.9842,141.3532,16.07,11.2,南区(南31条西8丁目),28961,1120
29,21,42.97515,141.3532,5.41,4.53,南区(南31条西8丁目),11720,453
13,23,42.99324,141.15648,1.07,1.28,南区(定山渓),3974,109
14,23,42.99324,141.16878,0.27,0.32,南区(定山渓),1003,27
14,22,42.9842,141.16878,0.37,0.45,南区(定山渓),1387,38
13,22,42.9842,141.15648,2.13,2.05,南区(定山渓),6373,174
12,22,42.9842,141.14419,0.82,0.98,南区(定山渓),3045,83
12,21,42.97515,141.14419,1.86,2.24,南区(定山渓),6941,190
11,21,42.97515,141.13189,1.02,1.22,南区(定山渓),3800,104
14,21,42.97515,141.16878,4.27,3.34,南区(定山渓),10368,284
13,21,42.97515,141.15648,2.09,1.96,南区(定山渓),6082,167
11,22,42.9842,141.13189,0.93,1.12,南区(定山渓),3472,95
10,22,42.9842,141.1196,3.29,2.56,南区(定山渓),7938,217
27,20,42.96611,141.32861,8.05,5.25,南区(南31条西8丁目),13560,525
28,21,42.97515,141.34091,11.41,7.43,南区(南31条西8丁目),19212,743
29,20,42.96611,141.3532,3.04,2.36,南区(南31条西8丁目),6105,236
30,22,42.9842,141.3655,3.05,2.58,南区(南31条西8丁目),6659,258
30,23,42.99324,141.3655,12.87,8.67,南区(南31条西8丁目),22409,867
30,21,42.97515,141.3655,1.46,1.25,南区(南31条西8丁目),3232,125
