ward,district,fiscal_year,status,city_loan,minimum_including_city_loan,contractor_owned,available_now,source_url,minimum_source_url,source_page
中央区,中地区,2026,予定・参考／稼働実績ではない,"{""grader"": 9, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 8, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 1}","{""grader_family"": 13, ""wheel_loader_8t"": 12, ""rotary_80_130ps"": 9, ""rotary_large"": 3, ""dump_10t"": 45}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
中央区,西地区,2026,予定・参考／稼働実績ではない,"{""grader"": 5, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 0, ""rotary_40ps"": 1, ""rotary_80_130ps"": 5, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 10, ""wheel_loader_8t"": 14, ""rotary_80_130ps"": 6, ""rotary_large"": 2, ""dump_10t"": 30}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
中央区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 4, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 3, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 9, ""wheel_loader_8t"": 10, ""rotary_80_130ps"": 4, ""rotary_large"": 2, ""dump_10t"": 30}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
北区,東地区,2026,予定・参考／稼働実績ではない,"{""grader"": 5, ""snow_truck"": 2, ""wheel_loader"": 1, ""rotary_large"": 2, ""rotary_40ps"": 1, ""rotary_80_130ps"": 11, ""spreader_4m3"": 1, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 11, ""wheel_loader_8t"": 35, ""rotary_80_130ps"": 12, ""rotary_large"": 7, ""dump_10t"": 105}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
北区,西地区,2026,予定・参考／稼働実績ではない,"{""grader"": 5, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 12, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 10, ""wheel_loader_8t"": 36, ""rotary_80_130ps"": 12, ""rotary_large"": 6, ""dump_10t"": 90}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
北区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 10, ""snow_truck"": 0, ""wheel_loader"": 1, ""rotary_large"": 2, ""rotary_40ps"": 1, ""rotary_80_130ps"": 12, ""spreader_4m3"": 1, ""spreader_2m3"": 2, ""spreader_sidewalk"": 2}","{""grader_family"": 14, ""wheel_loader_8t"": 25, ""rotary_80_130ps"": 12, ""rotary_large"": 5, ""dump_10t"": 75}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
東区,東地区,2026,予定・参考／稼働実績ではない,"{""grader"": 6, ""snow_truck"": 2, ""wheel_loader"": 1, ""rotary_large"": 0, ""rotary_40ps"": 0, ""rotary_80_130ps"": 8, ""spreader_4m3"": 1, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 10, ""wheel_loader_8t"": 23, ""rotary_80_130ps"": 9, ""rotary_large"": 3, ""dump_10t"": 45}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
東区,西地区,2026,予定・参考／稼働実績ではない,"{""grader"": 3, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 1, ""rotary_40ps"": 1, ""rotary_80_130ps"": 14, ""spreader_4m3"": 0, ""spreader_2m3"": 0, ""spreader_sidewalk"": 0}","{""grader_family"": 7, ""wheel_loader_8t"": 19, ""rotary_80_130ps"": 14, ""rotary_large"": 7, ""dump_10t"": 105}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
東区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 8, ""snow_truck"": 0, ""wheel_loader"": 0, ""rotary_large"": 3, ""rotary_40ps"": 0, ""rotary_80_130ps"": 10, ""spreader_4m3"": 1, ""spreader_2m3"": 0, ""spreader_sidewalk"": 1}","{""grader_family"": 11, ""wheel_loader_8t"": 20, ""rotary_80_130ps"": 11, ""rotary_large"": 4, ""dump_10t"": 80}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
白石区,南地区,2026,予定・参考／稼働実績ではない,"{""grader"": 7, ""snow_truck"": 0, ""wheel_loader"": 2, ""rotary_large"": 1, ""rotary_40ps"": 0, ""rotary_80_130ps"": 11, ""spreader_4m3"": 2, ""spreader_2m3"": 0, ""spreader_sidewalk"": 2}","{""grader_family"": 13, ""wheel_loader_8t"": 23, ""rotary_80_130ps"": 13, ""rotary_large"": 4, ""dump_10t"": 60}",,,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/4_taiyosyadaisu.pdf,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/documents/5_saiteidaisu.pdf,1
